document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_deepseek-r1:1.5b
Leveraging Inference: A Regression-Based Learner Performance Prediction System for Knowledge Tracing,"Learner modelling and performance prediction have seen numerous advances in the last decade which include Neural Network (NN) based approaches like Deep Knowledge Tracing (DKT), Factorisation machines for estimation and automatic detection of skill tags amongst others. Intelligent Tutoring Systems (ITSs), which try to tailor each user’s learning by adaptively scheduling problems depend upon learner modelling and the accurate prediction of learner performance to operate. ITSs have led to the availability of large-scale datasets enabling the development of richer models. The classical Bayesian approaches have been overtaken by faster, more scalable and more accurate models like DASH and DAS3H. Despite recent gains in prediction accuracy by NN based models, they are getting increasingly complex and computationally expensive. The issues with the scalability of recent models hinder their widespread adoption in Massive Online Open Courses (MOOCs) which outnumber ITSs by several magnitudes. NN models have very limited transferability. In this paper, the state-of-the-art approach involving Logistic Regression (LR) is examined on 8 public datasets and an alternative system based on variational encoding is presented. The proposed system outperforms the LR model in accuracy for 4 datasets. The new model is applied to the biggest Educational Data Mining (EDM) dataset available and shows that training on such a large dataset is possible without batching, which is not possible by other techniques. The paper focuses on the increase in scalability with a smaller memory footprint (requiring 22.5 ± 7.45 % less memory). The system also had a reduction in runtime for 5 among the 8 datasets. However, the variance in reduction is high with an average of  $10.12\pm 21.55 \%$  reduced run times. The proposed system was developed specifically for lightweight MOOCs with limited Learning Management Systems (LMS) such as Moodle. By estimating a learner ability parameter, the proposed system provides richer information to downstream applications like adaptive scheduling. The proposed model retains a high level of interpretability and transferability.","Department of Mathematics and Computer Science, The University of Adelaide, Adelaide, SA, Australia; Department of Mathematics and Computer Science, The University of Adelaide, Adelaide, SA, Australia; Department of Mathematics and Computer Science, The University of Adelaide, Adelaide, SA, Australia",A. Sridhara; N. Falkner; T. Atapattu,10.1109/ACCESS.2023.3329571,,2169-3536,IEEE Access,2023,False
Extending and Evaluating Usability Heuristics for Educational Website in Fiji,"Learning Management Systems (LMS) has recently gained a lot of popularity as an effective tool for improving education while promoting distance and flexible learning in Fiji. eLearning platforms should be able to possess usability features, including user-friendliness, ease of use and satisfaction of user requirements. With the diverse number of universities and courses globally, LMS websites created revolutionary changes in the educational sector. With these innovations, it is vital to ensure the effectiveness of educational sites by evaluating the usability interfaces, as there is minimal study on the effectiveness of websites, especially for LMS. This research intends to fill this gap by extending and evaluating the usability heuristics of educational website interfaces for better detection of usability problems, simultaneously running a survey to determine Moodle usage on different devices among different users in Fiji.","Department of Computer Science and Information Systems, Fiji National University, Nadi, Fiji; Department of Office Administration/Library and Information System, Fiji National University, Nadi, Fiji; School of Science and Technology, The University of Fiji, Saweni, Fiji; Department of Computer Science and Information Systems, Fiji National University, Nadi, Fiji",M. Sami; P. Devi; A. B. M. S. Ali; A. Kumar,10.1109/CSDE59766.2023.10487770,979-8-3503-4107-2,,2023 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),2023,False
Automatic Formative and Motivational Feedback Personalized for Introductory Programming Course,"The teaching and learning of the first programming language course, commonly called CS1 (Computer Science 1), is a reported challenge for undergraduate students in different majors and universities. In general, these courses have a high failure rate at institutions around the world. At the same time, there has been an increase in the usage of automated feedback tools for programming language courses. These tools present feedback to help the students know if their code is correct or incorrect while studying. This automatic feedback is important for student learning. In this context, this paper presents the AsPin plugin, developed for the virtual learning environment, which uses the student's profile to provide feedback (messages and advice) to personalize their learning. The automatic feedback helps the student understand where they made mistakes, delivers motivational messages so that the student continues to learn, and points to further academic materials so that the student spends more time studying what they need. This feedback is also personalized for the student's profile, as at the beginning of the course, the student fills out a form with basic information, for example, whether or not they already have programming experience and their major. The plugin was developed for the Moodle platform, a free and open-source virtual learning environment with CodeRunner, an automated grader for multi-programming languages. The AsPin plugin was developed for the CS1 course in Python language by students and instructors from the Department of Computer Science at the University of Brasilia. The plugin presented in this paper was evaluated by undergraduate students taking different majors, which has a high student acceptance rate. This paper presents the applied methodology, the development of the plugin, as well the performance evaluations and perceptions of students from the University of Brasilia in two academic semesters in 2022.","Depart. of Comp. Science and Eng., Texas A&M University, University of Brasilia, College Station, U.S.; Dept. of Comp. Science, University of Brasilia, Brasilia, Brazil; Dept. of Comp. Science, University of Brasilia, Brasilia, Brazil; Dept. of Comp. Science, University of Brasilia, Brasilia, Brazil; Dept. of Comp. Science, University of Brasilia, Brasilia, Brazil; Dept. of Computer Science and Engineering, Texas A&M University, College Station, U.S.; Dept. of Computer Science and Engineering, Texas A&M University, College Station, U.S.",M. Holanda; L. R. F. De Miranda; F. Macedo; J. L. Yamin; C. Dorea; C. Chamon; D. Da Silva,10.1109/FIE58773.2023.10343336,979-8-3503-3642-9,2377-634X,2023 IEEE Frontiers in Education Conference (FIE),2023,False
Learning Through Explanation: Producing and Peer-Reviewing Videos on Electric Circuits Problem Solving,"Contributions: This article presents the results from a teaching innovation project based on the creation of educational videos by students and their assessment through blind peer review in the context of an electric circuit course. This article also analyses the activity’s impact on learning outcomes by comparing the results of participating students with nonparticipants, as well as with results from the previous years. The study includes surveys completed by students. Background: Electric circuit courses involve a cumulative learning process that advances throughout the course. Students who do not adhere to a regular study-homework routine often struggle to maximize the benefits of their class time and are more prone to test failures. Research Questions (RQs): RQ1) Can peer assessment be relied upon as a grading method in an electrical engineering course? RQ2) Is it possible to enhance students’ study routines and improve their results by incorporating assessment activities different from partial exams, such as creating educational videos and peer review assessments? Methodology: Students create videos, which are then submitted to the designated task through the Moodle workshop tool. Subsequently, peer reviews are conducted using a rubric form. The reliability of peer review is analysed by comparing the grades assigned by students with those assigned by teachers who are introduced as incognito reviewers. Findings: The evaluation system, relying on peer assessments, demonstrated fair reliability. Participants have substantially improved their academic performance while dedicating less time to preparing for the different evaluation tests.","Departamento de Ingenieria Electrica, Universidad Carlos III de Madrid, Leganes, Spain; Departamento de Ingenieria Electrica, Universidad Carlos III de Madrid, Leganes, Spain; GPQSS Global Training Center, Hitachi Energy Spain, Madrid, Spain",F. Arredondo; B. García; R. Lijo,10.1109/TE.2024.3454008,,1557-9638,IEEE Transactions on Education,2025,False
Intelligent Prediction-Intervention approach to Support Students' Success in Web-based Learning Environments: A Case Study in Higher Education,"Due to the COVID-19 pandemic, the demand for distance learning has significantly increased in higher education institutions. This type of learning is usually supported by Web-based learning systems such as Massive Open Online Courses (Coursera, edX, etc.) and Learning Management Systems (Moodle, Blackboard-Learn, etc.). However, in this remote context, students often lack feedback and support from educational staff, especially when they face difficulties or challenges. For that reason, this work presents a Prediction-Intervention approach that (a) predicts students who present difficulties during an online learning course, based on two main learning indicators, namely engagement and performance rates, and (b) offers immediate support to students, tailored to the problem they are facing. To predict students’ issues, our approach considers ten machine learning algorithms of different types (standalone, ensemble, and deep learning) which are compared to determine the best performing ones. It has been experimented with a dataset collected from the Blackboard-Learn platform utilized in an engineering school called ESIEE-IT in France during 2021-2022 academic year, showing thus quite promising results.","Centre de Recherche en Informatique, Université Paris 1 Panthéon Sorbonne, Paris, France; Centre de Recherche en Informatique, Université Paris 1 Panthéon Sorbonne, Paris, France; LA Recherche en Intelligence Artificielle, ENSI, University of Manouba, Tunisia; Centre de Recherche en Informatique, Université Paris 1 Panthéon Sorbonne, Paris, France; Multimedia, InfoRmation Systems and Advanced Computing Laboratory",T. Khelifi; N. B. Rabah; I. Daoudi; B. L. Grand; F. Barika Ktata,10.1109/WI-IAT55865.2022.00044,978-1-6654-9402-1,,2022 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),2022,False
The Use of Digital Technologies During the Study of Mathematical Analysis as a Basis for the Development of Students’ Emotional Intelligence in New Crisis Conditions,"The article aims to reveal the experience of using digital technologies during the study of mathematical analysis for the development of students’ emotional intelligence in new crisis conditions. This includes a study of new device application software and a teaching resource for a mathematical analysis course (created using the Moodle platform). Our developments include working with the help of digital technologies in classes on mathematical analysis, which allows the student to learn ways to develop emotional intelligence. For this purpose, the use of social networks for the acquisition of team cooperation skills, mobile applications for analyzing real data of educational projects, visualization and calculation tools, web platforms for solving applied problems, artificial intelligence (ChatGPT3.5) for providing counterexamples, solving problems to illustrate mathematical statements, special testing programs for evaluating students are presented. Digital technologies make it possible to create a comfortable environment in new crisis conditions to help maintain emotional health and create safety conditions in the process of learning mathematical analysis.","Sumy State Pedagogical University named after A.S. Makarenko, Sumy, Ukraine; Sumy State Pedagogical University named after A.S. Makarenko, Sumy, Ukraine; Sumy State Pedagogical University named after A.S. Makarenko, Sumy, Ukraine; Sumy State Pedagogical University named after A.S. Makarenko, Sumy, Ukraine; Sumy State Pedagogical University named after A.S. Makarenko, Sumy, Ukraine; Sumy State Pedagogical University named after A.S. Makarenko, Sumy, Ukraine",I. V. Shyshenko; Y. O. Chkana; O. V. Martynenko; O. M. Udovychenko; I. M. Udovychenko; O. V. Semenikhina,10.1109/MIPRO60963.2024.10569618,979-8-3503-8250-1,2623-8764,2024 47th MIPRO ICT and Electronics Convention (MIPRO),2024,False
The Role of Learning Analytics in Assessing the Effectiveness of Blended Education: A Case Study of Astana IT University,"The transformation of higher education has brought new forms and approaches to learning to the forefront, highlighting online and blended learning. With the growing popularity of these new learning formats, questions about their effectiveness have arisen, which can be analyzed using learning analytics data. In the Kazakhstani scientific community, interest in learning analytics is in its infancy, reflected in the lack of publications on this topic. The article discusses blended learning at one of the universities in Kazakhstan, namely Astana IT University. The effectiveness of blended learning is analyzed using several methods to address two main research questions. The article includes a comparative analysis of traditional and blended learning formats at the specified university based on data on the overall academic performance of students in four selected socio-humanitarian disciplines from 2021 to 2023. Educational data were obtained from the Modular Object-Oriented Dynamic Learning Environment (Moodle) system. Additionally, the article presents data from a sociological survey among first-year students regarding their perception of the blended learning format. Furthermore, to search for a Pearson linear correlation between online lectures and academic performance data on the number of interactions students have with online content from the Learn system (Open edX) were extracted and analyzed.","Department of General Disciplines, Astana IT University, Astana, Kazakhstan; Digital Institute of Lifelong Education, Astana IT University, Astana, Kazakhstan; Department of General Disciplines, Astana IT University, Astana, Kazakhstan; Department of General Disciplines, Astana IT University, Astana, Kazakhstan",M. Zhanarstanova; Y. Alimzhanov; Y. Dossymkhan; A. Kaldybekova,10.1109/SIST61555.2024.10629415,979-8-3503-7486-5,,2024 IEEE 4th International Conference on Smart Information Systems and Technologies (SIST),2024,False
Log Analyzer for English Proficiency Test Cheating Detection,"Online learning is one of the learning methods implemented by many educational institutions. One of the implementations is the online English Proficiency Test (EPT) with Moodle LMS as the examination platform. However, in practice, some cheating still occurs, and many examinees in the online EPT exam make it challenging to analyze the data and detect cheating. Knowing this problem, this paper proposes a log analyzer framework that could detect cheating in online EPT exams in real time using log data as the analysis data. While also implementing proactive forensic practices and digital forensics readiness in the system. The waterfall method was adopted to develop the log analyzer framework by developing the capability of data acquisition and replication, identifying features that can indicate cheating, implementing isolation forest machine learning models for cheating detection, and reporting the analysis results from data that can be used for further processing. The functional test of the system states that the log analyzer framework's ability to acquire data, detect cheats, and create reports is functioning successfully. These functions demonstrate the log analyzer's ability to strengthen the security of online EPT examinations.","Informatics Faculty, Telkom University, Bandung, Indonesia; Informatics Faculty, Telkom University, Bandung, Indonesia; Informatics Faculty, Telkom University, Bandung, Indonesia",Q. K. Lintang; N. Dwi Wahyu Cahyani; M. Arief Nugroho,10.1109/ICoICT61617.2024.10698253,979-8-3503-6343-2,,2024 12th International Conference on Information and Communication Technology (ICoICT),2024,False
Mining the Internet to Discover Learning Management Systems Popularity: Evaluating Who is on Top and Why,"Our research reports new data on learning management system (LMS) popularity and gives an evaluation based on feature availability and ease of use of the four leading LMS platforms utilized in US higher education institutions: Canvas, Blackboard, D2L and Moodle. This research provides both the methods to mine market share and links to the data from our mining activities. The analysis breaks down possible reasons why we find such a strong front runner in Canvas. The research compares each feature of the four top LMS platforms and their ease of use. The aggregated data provides a usability score based on the presence of each feature and a ranking of the time it took an instructor to implement the feature. We also review the critical elements of Accessibility and Documentation.","School of Computing, Southern Adventist University, Collegedale, USA; dept. Mathematics, Southern Adventist University, Collegedale, USA",S. Anderson; P. Anderson,10.1109/CSCE60160.2023.00139,979-8-3503-2759-5,,"2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",2023,False
Predicting Creativity in Online Courses,"Many prediction tasks can be done based on users’ trace data. This paper explores divergent and convergent thinking as person-related attributes and predicts them based on features gathered in an online course. We use the logfile data of a short Moodle course, combined with an image test (IMT), the Alternate Uses Task (AUT), the Remote Associates Test (RAT), and creative self-efficacy (CSE). Our results show that originality and elaboration metrics can be predicted with an accuracy of ~.7 in cross-validation, whereby predicting fluency and RAT scores perform worst. CSE items can be predicted with an accuracy of ~.45. The best performing model is a Random Forest Tree, where the features were reduced using a Linear Discriminant Analysis in advance. The promising results can help to adjust online courses to the learners’ needs based on their creative performances.","Humboldt-Universität zu Berlin, Department of Computer Science, Weizenbaum Institute, Berlin, Germany; University of Potsdam, Chair of Business Informatics Weizenbaum Institute, Potsdam, Germany; Humboldt-Universität zu Berlin, Department of Computer Science, Weizenbaum Institute, Berlin, Germany",S. Rüdian; J. Haase; N. Pinkwart,10.1109/ICALT55010.2022.00056,978-1-6654-9519-6,2161-377X,2022 International Conference on Advanced Learning Technologies (ICALT),2022,False
Process Mining on Learning Activities in a Learning Management System,"A learning management system is a system that supports the management of teaching and learning activities in an educational institution. Telkom University has its own learning management system called CeLOE which was developed based on the open-source Moodle application. This study analyses an event log, automatically generated by the CeLOE LMS, that records student and lecturer activities in learning. The event log is mined to obtain a process model representing learning behaviours of the lecturers and students during the learning process. The case study in this research is learning in the study program 365 during the first semester of 2020/2021. The results of the analysis obtained are expected to increase understanding of the learning process and produce recommendations for improving the learning management system. The conclusions obtained from the analysis of the process model include the identification of activities and learning content that are used and carried out by students and lecturers, the most frequent learning activities and resources done by students and lecturers during the first semester of 2020/2021 in the study program 365, and the gap of activities and learning resources during the first semester of 2020/2021 in the study program 365.","School of Computing, Telkom University, Jalan Telkomunikasi Terusan Buah Batu Bandung, West Java, Indonesia; School of Computing, Telkom University, Jalan Telkomunikasi Terusan Buah Batu Bandung, West Java, Indonesia",G. A. A. Wisudiawan; A. P. Kurniati,10.23919/ICACT53585.2022.9728903,979-11-88428-08-3,1738-9445,2022 24th International Conference on Advanced Communication Technology (ICACT),2022,False
The Intersection of Usability Evaluation and Machine Learning in Software Systems,"Usability evaluation is crucial for software systems to promote user goal achievement based on effectiveness, efficiency, and satisfaction. Usability fosters user adoption and retention in software systems. The traditional subjective approach usually utilizes questionnaires, user testing, and heuristics with potential bias embedded. On the other hand, there's limited research on automatic objective evaluation found on usability with ML. Therefore, this paper analyzes the intersection between usability evaluation and ML in software systems to show the current state of the art and potential research directions. In this context, we propose a methodology with ML techniques for usability evaluation on a software system (Moodle) based on user interaction data and quantitative subjective answers. This strategy fosters a predictive analysis with data-driven decision-making for software systems improvement in the long term.","Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, USA; Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, USA",R. Torres-Molina; M. Seyam,10.1109/CogMI58952.2023.00026,979-8-3503-2383-2,,2023 IEEE 5th International Conference on Cognitive Machine Intelligence (CogMI),2023,False
Remote laboratories for practical experiments on renewable energies at European universities,"COVID-19 has challenged us to re-conceptualise STEM and engineering education. Practical and laboratory experiences are pivotal for those subjects. With the pandemic to continue the laboratories tasks were not possible in traditional laboratories. Recognising the challenge posed by COVID-19, and the importance of renewable and sustainable energy in addressing the climate crisis, the paper summaries the RE-OPEN project goals and challenges toward the setting up of a standard ICT solution of ""Remote labOratories for Practical Experiments on renewable energies at EU uNiversities (RE-OPEN)"". The aim of the project is also to develop a LMS based on Moodle platform, connected through a series of lab servers that allows access and control of the lab equipment.","Università Degli Studi Guglielmo Marconi, Research and Development Area, Rome, Italy; Centro di Ricerca su Energia, Ambiente e Territorio, Università Telematica eCampus, Novedrate, Italy; Department of Engineering Sciences, Università Degli Studi Guglielmo Marconi, Rome, Italy; Università Degli Studi Guglielmo Marconi, Research and Development Area, Rome, Italy; Università Degli Studi Guglielmo Marconi, Research and Development Area, Rome, Italy",S. Correnti; Creat; E. Bocci; I. Reggiani; A. Lavalle,10.1109/ICeLeT58996.2023.10139906,979-8-3503-3831-7,2163-6982,2023 10th International and the 16th National Conference on E-Learning and E-Teaching (ICeLeT),2023,False
High Availability in Private Cloud: Approaches and Possibilities,"Cloud computing, typically provided by large infrastructure providers, allows companies to utilize services efficiently under the premise of cost reduction. Known as the “public cloud,” this model contrasts with the “private cloud,” often perceived as costly and complex to implement. However, when high availability is required, the complexities of both models align, and the costs associated with public cloud services can become prohibitive. This paper explores the technical feasibility and economic viability of deploying private cloud infrastructure using refurbished hardware. It presents a detailed architecture incorporating Canonical MaaS for Metal-as-a-Service (MaaS), OpenNebula for Infrastructure-as-a-Service (IaaS), and Incus for Platform-as-a-Service (PaaS), with Moodle as the application layer case study. The study finds that private clouds, especially those utilizing refurbished hardware, not only offer a costeffective alternative to public clouds but also enhance security with complete control over data and systems, provide customizable self-management to meet specific organizational needs, utilize existing resources more efficiently for greater sustainability, and ensure technological sovereignty by reducing dependency on public cloud providers. These benefits collectively underscore the strategic advantages of adopting private cloud infrastructures in certain contexts.","Dpt. of Computer Science, Universidad Católica de Temuco, Temuco, Chile; Dpt. of Computer Science, Universidad Católica de Temuco, Temuco, Chile; Dpt. of Computer Science, Universidad Católica de Temuco, Temuco, Chile",A. Mellado-Gatica; J. Rojas-Mora; M. Villanueva-Alveal,10.1109/SCCC63879.2024.10767609,979-8-3315-2789-1,2691-0632,2024 43rd International Conference of the Chilean Computer Science Society (SCCC),2024,False
On Some Methods of Digital Assessment for Mathematical Courses,"While the practice in higher education has begun to reflect a much greater emphasis on active and, more generally, experiential approaches to learning, mathematics instruction, when set against these broader trends, still has some distance to travel. Information and communication technologies (ICTs), and computer algebra systems (CAS) in particular, open up new possibilities for the teaching of mathematics, providing dynamic and interactive approaches to the representation of ideas that enable students to explore concepts that, when presented in other guises, are well beyond their capability. The implementation of hybrid learning models, mixing traditional and digital pedagogies, raises major challenges: from choosing the right software to requiring complete teacher training. The COVID-19 pandemic strongly accelerated online education by providing for large-scale usage in learning management systems (LMS) such as MOODLE and CooSpace. These platforms, however, have been instrumental in keeping educational continuity; effective assessment strategies within the online environment still lag. The potential of integrating ICTs and CAS into mathematics education in enhancing student learning outcomes exists but requires surmounting technical, pedagogical, and logistical challenges. The paper explores some of the methods relevant to such questions as the roles of ICTs in experiential learning, the efficacy of hybrid models of teaching, and the establishment of frameworks for assessment online. Grounded in the critical review of current practice and exploration of innovative strategies, this research intends to have added to the discourse on how best mathematics education can be optimized within the digital age so that all students benefit from a comprehensive, engaging, and effective learning experience.","Department of Applied Quantitative Methods, Faculty of Finance and Accountancy, Budapest Business University, Budapest, Hungary; Department of Applied Quantitative Methods, Faculty of Finance and Accountancy, Budapest Business University, Budapest, Hungary; Department of Mathematics, Institute of Computer Engineering, University of Dunaújváros, Dunaújváros, Hungary; Department of Applied Quantitative Methods, Faculty of Finance and Accountancy, Budapest Business University, Budapest, Hungary",A. M. Takács; A. Takács; B. Nagy; D. G. Augusztinyi,10.1109/CANDO-EPE65072.2024.10772847,979-8-3315-3111-9,2831-4506,2024 IEEE 7th International Conference and Workshop Óbuda on Electrical and Power Engineering (CANDO-EPE),2024,False
User to Vector: Encoding User Behavior From Co-Occurrence of Observations,"In this study, we propose the User2Vec framework, a novel approach for capturing user behavior based on the co-occurrence of user activities. User behavior modeling is essential for understanding relationships in areas such as e-learning and marketing, but most existing methods rely on explicit social interaction data, which are not always available. We propose the User2Vec framework, inspired by the Word2Vec model, to encode user activity into dense vector representations using the temporal co-occurrence of active users. This approach allows the identification of user groups without relying on direct interaction data. The proposed methodology involves preprocessing user activity logs, extracting temporal co-occurrence features, and applying clustering techniques such as k-means and spectral clustering to reveal latent structures. These clustering methods were chosen for their balance of computational efficiency and effectiveness in capturing implicit relationships. The approach is experimented on a dataset from a university e-learning platform, where student logs are processed to cluster users according to their co-occurring actions. Comparative evaluations show that the proposed model outperforms previous co-occurrence-based methods in terms of clustering accuracy and computational efficiency. Our results highlight the significant potential of the proposed framework in applications such as personalized learning and community detection.","Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy; Department of Engineering, University of Perugia, Perugia, Italy; Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy",A. Milani; G. Biondi; V. Franzoni,10.1109/ACCESS.2024.3485553,,2169-3536,IEEE Access,2024,False
Behavioural intentions toward information communication technology integration in secondary education: Modelling the effects of students’ attitudes,"Technology integration in education holds promise for sustainable education regarding access, inclusion and quality, referencing the Sustainable Development Goal (SDG) 4. Nonetheless, attitudes toward technology have been identified in the literature as a precursor to technology uptake for technocentric pedagogy. While contemporary studies have investigated the attitude variable and its effects on students’ behavioural intentions toward technology integration, it has been done holistically without specificity in terms of attitudes toward particular technologies. How these various attitudes toward different technologies and online pedagogy relate among themselves, leading to the prediction of intention behaviour towards technology integration in secondary classrooms, is not fully known. Consequently, this study formulates a model that specifies how attitudes toward learning management systems, attitudes toward computers, attitudes toward the Internet, and attitudes toward online learning intricately influence each other in determining students’ behavioural intentions to integrate technology into their learning. The study adopted a quantitative approach based on a correlational survey design and elicited responses from a stratified proportionate and simple random sample of 386 secondary school students through a questionnaire. Data were analysed using descriptive statistics and partial least squares structural equation modelling (PLS-SEM) techniques. Results from the structural model analysis revealed that students’ attitudes toward learning management systems, the Internet, and online learning directly determine students’ behavioural intentions toward ICT integration in their learning. Moreover, attitudes toward the learning management system and the Internet predicted students’ attitudes toward online learning. Furthermore, attitudes toward computers determined both students’ attitudes toward learning management systems and the Internet. Overall, the specified model determined about 40% variance in explaining students’ attitudes and their intention behaviour towards ICT integration in their learning. These findings provide an essential foundation for policy and practice towards technology integration in secondary education. © 2025 The Author(s)","Bervell, Brandford University of Cape Coast, College of Distance Education, Maths, Science & ICT Department, Cape Coast, Ghana; Armah, Justice Kofi University of Cape Coast, Directorate of Academic Planning and Quality Assurance, Cape Coast, Ghana; Mireku, Dickson Okoree St. Augustines College (GES), Cape Coast, Ghana; Sarpong, Nana Akwasi Prempeh School of Distance Education, Universiti Sains Malaysia, Penang, Malaysia; Annamalai, Nagaletchimee Humanities and Social Sciences, Research Centre, Ajman University, Ajman, United Arab Emirates","Bervell, Brandford and Armah, Justice Kofi and Mireku, Dickson Okoree and Sarpong, Nana Akwasi Prempeh and Annamalai, Nagaletchimee",10.1016/j.teler.2025.100193,UNKNOWN,27725030,Telematics and Informatics Reports,2025,False
Enhancing electric vehicle battery lifespan: integrating active balancing and machine learning for precise RUL estimation,"Electric vehicles (EVs) rely heavily on lithium-ion battery packs as essential energy storage components. However, inconsistencies in cell characteristics and operating conditions can lead to imbalanced state of charge (SOC) levels, resulting in reduced capacity and accelerated degradation. This study presents an active cell balancing method optimized for both charging and discharging scenarios, aiming to equalize SOC across cells and improve overall pack performance. The proposed system includes two balancing strategies: a charging balance that redistributes excess charge from high-SOC cells to maximize capacity, and a discharging balance that addresses low-SOC cells to extend discharge duration. Experimental results confirm that this method effectively reduces SOC disparities, enhancing both charging and discharging capacities. Additionally, to accurately predict battery lifespan and remaining useful life (RUL), seven machine learning models are evaluated using R-squared (R2) and Mean Absolute Error (MAE) metrics. Among these, k-nearest Neighbors and Random Forest models deliver the highest accuracy, achieving R2 values of 0.996 and above with low MAE, demonstrating strong predictive capability. The integration of active balancing and RUL prediction enables a feedback loop where balanced SOC levels promote battery health, and RUL predictions inform optimal balancing strategies. This comprehensive approach advances EV battery management, enhancing lifespan and reliability through proactive balancing and predictive insights. © The Author(s) 2025.","Sultan, Yara A. Mechatronics Department, Faculty of Engineering, Horus University-Egypt, New Damietta, Egypt; Eladl, Abdelfattah A. Electrical Engineering Department, Faculty of Engineering, Mansoura University, Mansoura, 35516, Egypt; Hassan, Mohamed A. Electronics and Communication Engineering Dept. Faculty of Engineering, Horus University, New Damietta, Egypt","Sultan, Yara A. and Eladl, Abdelfattah A. and Hassan, Mohamed A. and Gamel, Samah A.",10.1038/s41598-024-82778-w,UNKNOWN,20452322,Scientific Reports,2025,False
Steering the Future: Redefining Intelligent Transportation Systems with Foundation Models,"At the intersection of artificial intelligence and urban development, this paper unveils the pivotal role of Foundation Models (FMs) in revolutionizing Intelligent Transportation Systems (ITS). Against the backdrop of escalating urbanization and environmental concerns, we rigorously assess how FMs—spanning large language models, vision-language models, large multimodal models, etc.—can redefine urban mobility paradigms. Our discussion extends to the potential of modular, scalable models and strategic public-private partnerships in facilitating seamless integration. Through a comprehensive literature review and theoretical framework, this paper underscores the significant role of FMs in steering the future of transportation towards unprecedented levels of intelligence and responsiveness. The insights offered aim to guide policymakers, engineers, and researchers in the ethical and effective adoption of FMs, paving the way for a new era in transportation systems.","State Key Laboratory of Internet of Things for Smart City, University of Macau, Macau SAR, China; State Key Laboratory of Intelligent Transportation Systems, Beihang University, Beijing, China; State Key Laboratory of Internet of Things for Smart City, University of Macau, Macau SAR, China; Department of Civil and Architectural Engineering and Construction Management, University of Cincinnati, Cincinnati, Ohio, USA; Department of Civil, Environmental and Construction Engineering, University of Hawaii at Manoa, Honolulu, Hawaii, USA; State Key Laboratory of Internet of Things for Smart City, University of Macau, Macau SAR, China; Department of Civil and Environmental Engineering, University of Washington, Seattle, Washington, USA",Z. Li; Z. Cui; H. Liao; J. Ash; G. Zhang; C. Xu; Y. Wang,10.23919/CHAIN.2024.100003,,2097-3489,CHAIN,2024,False
Advances in image-based estimation of snow variable: A systematic literature review on recent studies,"Accurately estimating snow hydrology parameters, including snow coverage mapping and snow depth, plays a significant role in comprehending water resource dynamics, flood forecasting, and environmental management in regions influenced by snow cover. These parameters are critical for hydrological models that simulate snowmelt and runoff, which are essential for predicting water availability and managing water resources in snow-covered areas. Traditional methods for estimating these parameters often rely on manual measurements or simplistic models, which can be inadequate for capturing the complexity of snow-related processes. In recent years, there has been a growing interest in leveraging deep learning techniques for snow hydrology parameter estimation, offering the potential to overcome these limitations. This review paper comprehensively analyzes the current state, challenges, and future directions of image-based approaches in snow hydrology parameter estimation. By harnessing the power of automated methods, particularly deep learning, these approaches demonstrate the ability to capture intricate spatial and temporal relationships present in image data. A comparative analysis on image-based methods highlights the strengths of automated approaches, including scalability and accuracy. Integration of image sensors, such as satellite imagery and crowd-sourced data, is explored as a crucial component of snow hydrology parameter estimation. Various satellite image sources, including Sentinel 1-2, Landsat, and Moderate Resolution Imaging Spectroradiometer (MODIS), are discussed in terms of their suitability for snow hydrological applications. Despite the promise of image-based approaches, challenges remain, including data availability, model interpretability, and transferability. The paper identifies future research directions, emphasizing the exploration of novel deep learning architectures and uncertainty quantification techniques to address these challenges. In conclusion, this review underscores the importance of image-based approaches for advancing snow hydrology parameter estimation. By addressing challenges and maximizing potential impact, these approaches have the potential to revolutionize snow hydrological modeling and environmental management. © 2025 The Authors","Demil, Getnet Center for Machine Vision and Signal Processing, University of Oulu, Finland; Haghighi, Ali Torabi Water, Energy and Environmental Engineering Unit, University of Oulu, Finland","Demil, Getnet and Haghighi, Ali Torabi and Klöve, Björn and Oussalah, Mourad",10.1016/j.jhydrol.2025.132855,UNKNOWN,00221694,Journal of Hydrology,2025,False
